Filepath,setBpm,Fail Reason
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105f5\,100,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105fa\,110,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105fc\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105fc\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1060\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1060e\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1060e\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1061\,105,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1062\,90,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1063a\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1063c\,200,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1063e\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1065\,126,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1066a\,103,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1066f\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1067e\,147,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1068\,196,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1069e\,132,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1069f\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1069f\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106a0\,200,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106a1\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106a1\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106a2\,124,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106a3\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106a4\,69,In Range
